hp,lp,sum,accel,gyro
-0.130524,-0.023401,-0.153925,-0.153015,-0.131769
-0.127120,-0.025881,-0.153001,-0.147406,-0.130960
-0.123816,-0.028350,-0.152166,-0.149316,-0.130182
-0.120609,-0.030709,-0.151318,-0.146322,-0.129436
-0.117455,-0.033162,-0.150617,-0.153354,-0.128680
-0.114198,-0.035693,-0.149891,-0.159725,-0.127753
-0.110766,-0.038254,-0.149020,-0.163744,-0.126581
-0.107183,-0.040710,-0.147893,-0.161040,-0.125186
-0.103776,-0.042991,-0.146767,-0.154764,-0.123897
-0.100865,-0.045065,-0.145931,-0.146700,-0.123045
-0.098503,-0.047074,-0.145578,-0.145502,-0.122693
-0.096606,-0.049025,-0.145632,-0.144628,-0.122768
-0.094935,-0.051078,-0.146014,-0.151677,-0.123034
-0.093339,-0.053013,-0.146352,-0.147815,-0.123343
-0.091692,-0.054980,-0.146671,-0.151344,-0.123567
-0.090035,-0.056727,-0.146762,-0.142349,-0.123748
-0.088475,-0.058402,-0.146876,-0.140460,-0.123993
-0.086966,-0.060171,-0.147137,-0.146854,-0.124259
-0.085342,-0.061948,-0.147290,-0.149034,-0.124376
-0.083645,-0.063721,-0.147367,-0.150622,-0.124387
-0.081983,-0.065522,-0.147505,-0.153747,-0.124398
-0.080437,-0.067228,-0.147665,-0.150809,-0.124494
-0.078985,-0.069055,-0.148040,-0.158596,-0.124653
-0.077604,-0.070741,-0.148345,-0.153354,-0.124856
-0.076407,-0.072262,-0.148669,-0.146809,-0.125218
-0.075505,-0.073435,-0.148940,-0.130894,-0.125857
-0.074788,-0.074555,-0.149343,-0.129424,-0.126667
-0.073908,-0.075802,-0.149710,-0.136887,-0.127295
-0.072535,-0.077036,-0.149571,-0.137535,-0.127402
-0.070614,-0.078223,-0.148837,-0.136363,-0.126922
-0.068398,-0.079294,-0.147692,-0.131802,-0.126102
-0.066070,-0.080444,-0.146513,-0.136773,-0.125122
-0.063788,-0.081704,-0.145492,-0.143464,-0.124142
-0.061625,-0.082913,-0.144537,-0.142126,-0.123237
-0.059557,-0.084175,-0.143732,-0.146031,-0.122384
-0.057625,-0.085437,-0.143062,-0.147275,-0.121628
-0.055804,-0.086776,-0.142580,-0.152368,-0.120946
-0.054093,-0.088105,-0.142197,-0.153217,-0.120339
-0.052489,-0.089338,-0.141827,-0.149790,-0.119806
-0.051053,-0.090487,-0.141540,-0.146775,-0.119412
-0.049750,-0.091554,-0.141304,-0.143859,-0.119125
-0.048484,-0.092672,-0.141156,-0.147445,-0.118848
-0.047169,-0.093690,-0.140860,-0.143586,-0.118496
-0.045777,-0.094743,-0.140520,-0.146297,-0.118038
-0.044308,-0.095850,-0.140158,-0.150116,-0.117473
-0.042785,-0.096987,-0.139772,-0.152672,-0.116824
-0.041324,-0.098079,-0.139403,-0.151607,-0.116206
